Morphology_species,Date,Time,Sex,Sample_ID,Collected_at_waterhole,Location_type,Latitude,Longitude,
Oryx,24.01.2023,07:50:04,Female,S01,FALSE,Near JM house,"226,837","181,827",
Black wildebeest,24.01.2023,08:47:30,Unknown,S02,FALSE,Near Bush camp,"226,944","182,019",
Giraffe,24.01.2023,11:00:01,Female,R01,FALSE,Near Bush camp,"226,896","182,178",
Black wildebeest,24.01.2023,11:58:09,Male,S03,FALSE,Near Sandposten,"226,753","182,070",
Plains zebra,24.01.2023,12:20:23,Unknown,S04,FALSE,Near Bush camp,"226,783","181,974",
Oryx,25.01.2023,07:13:20,Unknown,S05,FALSE,Near Gate Elisa,"226,966","182,339",
Black wildebeest,25.01.2023,10:55:57,Female,S06,FALSE,Near Boma,"226,966","182,340",
Oryx,25.01.2023,14:58:01,Unknown,S07,FALSE,Near JM house,"226,922","181,768",
Black wildebeest,25.01.2023,15:55:20,Female,S08,FALSE,Near Bush camp,"226,949","182,021",
Oryx,26.01.2023,07:11:23,Unknown,S09,FALSE,Near Gustavposten,"226,909","181,990",
Plains zebra,26.01.2023,09:21:21,Unknown,S10,FALSE,Near Sandposten,"226,681","182,016",
Oryx,27.01.2023,06:46:27,Unknown,S11,FALSE,Near JM house,"226,762","181,665",
Oryx,27.01.2023,08:11:40,Unknown,S12,FALSE,Near JM house,"226,762","181,665",
Black wildebeest,27.01.2023,08:57:21,Male,S13,FALSE,Near Bergposten,"226,091","182,256",
Plains zebra,27.01.2023,10:57:30,Unknown,S14,FALSE,Near Bergposten,"226,091","182,256",
White Rhino,30.01.2023,07:27:20,Female with a wound,S15,FALSE,Near Frankposten,"226,473","181,822",
White Rhino,30.01.2023,09:36:40,Young male(mother with wound),S16,FALSE,Near Frankposten,"226,440","181,890",
White Rhino,30.01.2023,11:26:35,"Male{in the group of injured female, 5-10 years}",S17,FALSE,Near Frankposten,"226,431","181,907",
White Rhino,30.01.2023,14:52:31,"Male(Long horn's calf, 1-2 years)",S18,FALSE,Near Frankposten,"226,430","181,906",
White Rhino,30.01.2023,15:01:20,Female (Long horn),S19,FALSE,Near Frankposten,"226,430","181,906",
White Rhino,31.01.2023,11:22:30,Female with youngest calf,S20,FALSE,Near Frankposten,"226,491","181,857",
Elephant,01.02.2023,10:08:30,Male(biggest in the group),S21,FALSE,Near JM house,"226,489","181,860",Smple were 1-2 hours old before collection
Oryx,08.02.2023,07:15:30,Unknown,S22,FALSE,Near JM house,"226,879","181,684",
Oryx,08.02.2023,07:45:13,Unknown,S23,FALSE,Near Gustavposten,"226,874","181,814",
Black wildebeest,08.02.2023,08:34:21,Unknown,S24,FALSE,Near Gustavposten,"226,882","181,918",
Oryx,08.02.2023,09:06:40,Unknown,S25,FALSE,Near Gustavposten,"226,974","181,972",
Plains zebra,08.02.2023,09:39:20,Unknown,S26,FALSE,Near Gustavposten,"226,950","182,029",
Black wildebeest,08.02.2023,10:18:55,Female,S27,FALSE,Near Gustavposten,"227,043","182,112",
Giraffe,08.02.2023,11:00:57,Female,R02,FALSE,Near Gustavposten,"226,875","182,011",
Giraffe,08.02.2023,11:18:29,Female,R03,FALSE,Near JM house,"226,844","181,902",
Giraffe,08.02.2023,17:30:30,Female,R04,FALSE,Near Frankposten,"226,501","181,808",
Giraffe,09.02.2023,06:57:01,Female,R05,FALSE,Near Gustavposten,"226,863","181,979",
Giraffe,09.02.2023,07:25:25,Female,R06,FALSE,Near Gustavposten,"227,057","182,067",
Oryx,09.02.2023,08:32:13,Unknown,S28,FALSE,Near Sandposten,"226,794","182,170",
Giraffe,09.02.2023,09:00:23,Female,R07,FALSE,Near Sandposten,"226,702","182,206",
Black wildebeest,09.02.2023,09:42:01,Male,S29,FALSE,Near Nashom posten,"226,413","182,239",
Blue Wildebeest,09.02.2023,10:54:40,Unknown,S30,FALSE,Near Boma,"226,150","182,197",
Giraffe,09.02.2023,11:30:11,Male,R08,FALSE,Near CS house,"226,148","181,983",
Black wildebeest,10.02.2023,08:07:22,Unknown,S31,FALSE,Near Bergposten,"226,266","182,343",
Black wildebeest,10.02.2023,08:35:03,Unknown,S32,FALSE,Near CS house,"226,176","182,272",
Blue Wildebeest,10.02.2023,11:26:30,Unknown,S33,FALSE,Near JM house,"226,769","181,728",
Giraffe,15.02.2023,09:03:30,Female,R09,FALSE,Near JM house,"226,771","181,728",
Giraffe,15.02.2023,09:44:21,Male,R10,FALSE,Near Frankposten,"226,573","181,887",
Plains zebra,15.02.2023,10:12:01,Unknown,S34,FALSE,Near Frankposten,"226,521","181,881",
Giraffe,15.02.2023,10:44:23,Female,R11,FALSE,Near Frankposten,"226,446","181,872",
Plains zebra,20.02.2023,08:32:01,Unknown,S35,FALSE,Near Bergposten,"226,762","181,946",
Giraffe,20.02.2023,09:36:20,Female,R12,FALSE,Near Frankposten,"226,369","181,965",
Plains zebra,20.02.2023,09:44:02,Unknown,S36,FALSE,Near Frankposten,"226,367","181,967",
Blue Wildebeest,20.02.2023,10:37:40,Male,S37,FALSE,Near CS house,"226,123","182,213",
Kudu,21.06.2023,07:24:35,Female,S38,FALSE,Near JM house,"226,804","181,706",
Giraffe,21.08.2023,08:37:02,Female,R13,FALSE,Near Gustavposten,"226,914","181,967",
Oryx,21.08.2023,09:04:41,Unknown,S39,FALSE,Near Gate Josephine,"227,073","181,964",
Black wildebeest,21.08.2020,09:38:41,Female,S40,FALSE,Near Gate Josephine,"227,058","182,031",