Rack,Source,Rack,Destination,Volume,Tool
1,2_3_A1,1,A1,7.108108108,TS_50
1,2_3_A1,1,A2,15.37931034,TS_50
1,2_3_A1,1,A3,13.41126641,TS_50
1,2_3_A1,1,A4,19.61403509,TS_50
1,2_3_A1,1,A5,19,TS_50
1,2_3_A1,1,A6,18.53551913,TS_50
1,2_3_A1,1,A7,8.326018809,TS_50
1,2_3_A1,1,A8,19,TS_50
1,2_3_A1,1,A9,20.66666667,TS_50
1,2_3_A1,1,A10,20.42857143,TS_50
1,2_3_A1,1,A11,20.42857143,TS_50
1,2_3_A1,1,A12,19,TS_50
1,2_3_A1,1,B1,6.517482517,TS_50
1,2_3_A1,1,B2,18.56521739,TS_50
1,2_3_A1,1,B3,17.33333333,TS_50
1,2_3_A1,1,B4,18.35028249,TS_50
1,2_3_A1,1,B5,20.66666667,TS_50
1,2_3_A1,1,B6,14.90909091,TS_50
1,2_3_A1,1,B7,11.5,TS_50
1,2_3_A1,1,B8,18.44444444,TS_50
1,2_3_A1,1,B10,15.45299145,TS_50
1,2_3_A1,1,B11,20.15384615,TS_50
1,2_3_A1,1,B12,17.75,TS_50
1,2_3_A1,1,C1,18.73684211,TS_50
1,2_3_A1,1,C2,7.333333333,TS_50
1,2_3_A1,1,C3,18.11764706,TS_50
1,2_3_A1,1,C4,18.11764706,TS_50
1,2_3_A1,1,C5,19.23809524,TS_50
1,2_3_A1,1,C6,19.83333333,TS_50
1,2_3_A1,1,C7,19.79831933,TS_50
1,2_3_A1,1,C8,19.19230769,TS_50
1,2_3_A1,1,C9,20.96969697,TS_50
1,2_3_A1,1,C10,20.875,TS_50
1,2_3_A1,1,C11,19,TS_50
1,2_3_A1,1,C12,17.86503067,TS_50
1,2_3_A1,1,D1,20.35036496,TS_50
1,2_3_A1,1,D2,15.66666667,TS_50
1,2_3_A1,1,D3,19,TS_50
1,2_3_A1,1,D4,14.90909091,TS_50
1,2_3_A1,1,D5,18.44444444,TS_50
1,2_3_A1,1,D6,16.85714286,TS_50
1,2_3_A1,1,D7,4,TS_50
1,2_3_A1,1,D8,18.44444444,TS_50
1,2_3_A1,1,D9,20.2962963,TS_50
1,2_3_A1,1,D10,20.42857143,TS_50
1,2_3_A1,1,D11,19,TS_50
1,2_3_A1,1,D12,21.36842105,TS_50
1,2_3_A1,1,E1,17.75,TS_50
1,2_3_A1,1,E2,20,TS_50
1,2_3_A1,1,E3,20.2962963,TS_50
1,2_3_A1,1,E4,17.75,TS_50
1,2_3_A1,1,E5,20.77419355,TS_50
1,2_3_A1,1,E6,15.66666667,TS_50
1,2_3_A1,1,E7,18.44444444,TS_50
1,2_3_A1,1,E8,20.66666667,TS_50
1,2_3_A1,1,E9,20.2962963,TS_50
1,2_3_A1,1,E10,19.83333333,TS_50
1,2_3_A1,1,E11,20.55172414,TS_50
1,2_3_A1,1,E12,6.517482517,TS_50
1,2_3_A1,1,F1,19,TS_50
1,2_3_A1,1,F2,19,TS_50
1,2_3_A1,1,F3,19,TS_50